symbol,pass,trades,wins,losses,net_pnl
AAL,1,2,0,2,-5007.884999999998
AAL,2,4,0,4,-10015.769999999997
AAL,3,6,0,6,-15023.654999999995
AAL,4,8,0,8,-20031.539999999994
AAL,5,10,0,10,-25039.424999999992
AAL,6,12,0,12,-30047.30999999999
AAL,7,14,0,14,-35055.19499999999
AAL,8,16,0,16,-40063.07999999999
AAL,9,18,0,18,-45070.96499999998
AAL,10,20,0,20,-50078.84999999998
AAL,11,22,0,22,-55086.73499999997
AAL,12,24,0,24,-60094.619999999966
AAL,13,26,0,26,-65102.50499999996
AAL,14,28,0,28,-70110.38999999996
AAL,15,30,0,30,-75118.27499999995
AAL,16,32,0,32,-80126.15999999995
AAL,17,34,0,34,-85134.04499999994
AAL,18,36,0,36,-90141.92999999993
AAL,19,38,0,38,-95149.81499999993
AAL,20,40,0,40,-100157.69999999992
AAL,21,42,0,42,-105165.58499999992
AAL,22,44,0,44,-110173.46999999991
AAL,23,46,0,46,-115181.35499999991
AAL,24,48,0,48,-120189.2399999999
AAL,25,50,0,50,-125197.1249999999
AAL,26,52,0,52,-130205.0099999999
AAL,27,54,0,54,-135212.8949999999
AAL,28,56,0,56,-140220.7799999999
AAL,29,58,0,58,-145228.66499999992
AAL,30,60,0,60,-150236.54999999993
AAL,31,62,0,62,-155244.43499999994
AAL,32,64,0,64,-160252.31999999995
AAL,33,66,0,66,-165260.20499999996
AAL,34,68,0,68,-170268.08999999997
AAL,35,70,0,70,-175275.97499999998
AAL,36,72,0,72,-180283.86
AAL,37,74,0,74,-185291.745
AAL,38,76,0,76,-190299.63
AAL,39,78,0,78,-195307.515
AAL,40,80,0,80,-200315.40000000002
AAL,41,82,0,82,-205323.28500000003
AAL,42,84,0,84,-210331.17000000004
AAL,43,86,0,86,-215339.05500000005
AAL,44,88,0,88,-220346.94000000006
AAL,45,90,0,90,-225354.82500000007
AAL,46,92,0,92,-230362.71000000008
AAL,47,94,0,94,-235370.5950000001
AAL,48,96,0,96,-240378.4800000001
AAL,49,98,0,98,-245386.3650000001
AAL,50,100,0,100,-250394.25000000012
AMD,1,0,0,0,0.0
AMD,2,0,0,0,0.0
AMD,3,0,0,0,0.0
AMD,4,0,0,0,0.0
AMD,5,0,0,0,0.0
AMD,6,0,0,0,0.0
AMD,7,0,0,0,0.0
AMD,8,0,0,0,0.0
AMD,9,0,0,0,0.0
AMD,10,0,0,0,0.0
AMD,11,0,0,0,0.0
AMD,12,0,0,0,0.0
AMD,13,0,0,0,0.0
AMD,14,0,0,0,0.0
AMD,15,0,0,0,0.0
AMD,16,0,0,0,0.0
AMD,17,0,0,0,0.0
AMD,18,0,0,0,0.0
AMD,19,0,0,0,0.0
AMD,20,0,0,0,0.0
AMD,21,0,0,0,0.0
AMD,22,0,0,0,0.0
AMD,23,0,0,0,0.0
AMD,24,0,0,0,0.0
AMD,25,0,0,0,0.0
AMD,26,0,0,0,0.0
AMD,27,0,0,0,0.0
AMD,28,0,0,0,0.0
AMD,29,0,0,0,0.0
AMD,30,0,0,0,0.0
AMD,31,0,0,0,0.0
AMD,32,0,0,0,0.0
AMD,33,0,0,0,0.0
AMD,34,0,0,0,0.0
AMD,35,0,0,0,0.0
AMD,36,0,0,0,0.0
AMD,37,0,0,0,0.0
AMD,38,0,0,0,0.0
AMD,39,0,0,0,0.0
AMD,40,0,0,0,0.0
AMD,41,0,0,0,0.0
AMD,42,0,0,0,0.0
AMD,43,0,0,0,0.0
AMD,44,0,0,0,0.0
AMD,45,0,0,0,0.0
AMD,46,0,0,0,0.0
AMD,47,0,0,0,0.0
AMD,48,0,0,0,0.0
AMD,49,0,0,0,0.0
AMD,50,0,0,0,0.0
BAC,1,1,0,1,-2623.610000000001
BAC,2,2,0,2,-5247.220000000002
BAC,3,3,0,3,-7870.830000000004
BAC,4,4,0,4,-10494.440000000004
BAC,5,5,0,5,-13118.050000000005
BAC,6,6,0,6,-15741.660000000005
BAC,7,7,0,7,-18365.270000000008
BAC,8,8,0,8,-20988.88000000001
BAC,9,9,0,9,-23612.49000000001
BAC,10,10,0,10,-26236.10000000001
BAC,11,11,0,11,-28859.71000000001
BAC,12,12,0,12,-31483.32000000001
BAC,13,13,0,13,-34106.930000000015
BAC,14,14,0,14,-36730.540000000015
BAC,15,15,0,15,-39354.150000000016
BAC,16,16,0,16,-41977.76000000002
BAC,17,17,0,17,-44601.37000000002
BAC,18,18,0,18,-47224.98000000002
BAC,19,19,0,19,-49848.59000000002
BAC,20,20,0,20,-52472.20000000002
BAC,21,21,0,21,-55095.81000000002
BAC,22,22,0,22,-57719.42000000002
BAC,23,23,0,23,-60343.03000000002
BAC,24,24,0,24,-62966.64000000002
BAC,25,25,0,25,-65590.25000000003
BAC,26,26,0,26,-68213.86000000003
BAC,27,27,0,27,-70837.47000000003
BAC,28,28,0,28,-73461.08000000003
BAC,29,29,0,29,-76084.69000000003
BAC,30,30,0,30,-78708.30000000003
BAC,31,31,0,31,-81331.91000000003
BAC,32,32,0,32,-83955.52000000003
BAC,33,33,0,33,-86579.13000000003
BAC,34,34,0,34,-89202.74000000003
BAC,35,35,0,35,-91826.35000000003
BAC,36,36,0,36,-94449.96000000004
BAC,37,37,0,37,-97073.57000000004
BAC,38,38,0,38,-99697.18000000004
BAC,39,39,0,39,-102320.79000000004
BAC,40,40,0,40,-104944.40000000004
BAC,41,41,0,41,-107568.01000000004
BAC,42,42,0,42,-110191.62000000004
BAC,43,43,0,43,-112815.23000000004
BAC,44,44,0,44,-115438.84000000004
BAC,45,45,0,45,-118062.45000000004
BAC,46,46,0,46,-120686.06000000004
BAC,47,47,0,47,-123309.67000000004
BAC,48,48,0,48,-125933.28000000004
BAC,49,49,0,49,-128556.89000000004
BAC,50,50,0,50,-131180.50000000006
CCL,1,2,2,0,5992.769999999993
CCL,2,4,4,0,11985.539999999986
CCL,3,6,6,0,17978.30999999998
CCL,4,8,8,0,23971.079999999973
CCL,5,10,10,0,29963.849999999966
CCL,6,12,12,0,35956.61999999996
CCL,7,14,14,0,41949.38999999995
CCL,8,16,16,0,47942.15999999994
CCL,9,18,18,0,53934.92999999993
CCL,10,20,20,0,59927.69999999992
CCL,11,22,22,0,65920.46999999991
CCL,12,24,24,0,71913.23999999992
CCL,13,26,26,0,77906.00999999992
CCL,14,28,28,0,83898.77999999993
CCL,15,30,30,0,89891.54999999993
CCL,16,32,32,0,95884.31999999993
CCL,17,34,34,0,101877.08999999994
CCL,18,36,36,0,107869.85999999994
CCL,19,38,38,0,113862.62999999995
CCL,20,40,40,0,119855.39999999995
CCL,21,42,42,0,125848.16999999995
CCL,22,44,44,0,131840.93999999994
CCL,23,46,46,0,137833.70999999993
CCL,24,48,48,0,143826.47999999992
CCL,25,50,50,0,149819.2499999999
CCL,26,52,52,0,155812.0199999999
CCL,27,54,54,0,161804.7899999999
CCL,28,56,56,0,167797.55999999988
CCL,29,58,58,0,173790.32999999987
CCL,30,60,60,0,179783.09999999986
CCL,31,62,62,0,185775.86999999985
CCL,32,64,64,0,191768.63999999984
CCL,33,66,66,0,197761.40999999983
CCL,34,68,68,0,203754.17999999982
CCL,35,70,70,0,209746.9499999998
CCL,36,72,72,0,215739.7199999998
CCL,37,74,74,0,221732.4899999998
CCL,38,76,76,0,227725.25999999978
CCL,39,78,78,0,233718.02999999977
CCL,40,80,80,0,239710.79999999976
CCL,41,82,82,0,245703.56999999975
CCL,42,84,84,0,251696.33999999973
CCL,43,86,86,0,257689.10999999972
CCL,44,88,88,0,263681.8799999997
CCL,45,90,90,0,269674.64999999973
CCL,46,92,92,0,275667.41999999975
CCL,47,94,94,0,281660.18999999977
CCL,48,96,96,0,287652.9599999998
CCL,49,98,98,0,293645.7299999998
CCL,50,100,100,0,299638.4999999998
F,1,2,2,0,6421.410000000007
F,2,4,4,0,12842.820000000014
F,3,6,6,0,19264.23000000002
F,4,8,8,0,25685.64000000003
F,5,10,10,0,32107.050000000036
F,6,12,12,0,38528.46000000004
F,7,14,14,0,44949.870000000046
F,8,16,16,0,51371.28000000005
F,9,18,18,0,57792.69000000005
F,10,20,20,0,64214.10000000006
F,11,22,22,0,70635.51000000007
F,12,24,24,0,77056.92000000009
F,13,26,26,0,83478.3300000001
F,14,28,28,0,89899.74000000012
